ICAO_ID ,Name,Size,Latitude,Longitude,municipality,local_region,ID_ST,City,State
KOSU,The Ohio State University Airport - Don Scott Field,medium_airport,40.0798,-83.072998,Columbus,OH,10,Columbus,OH
KCMH,John Glenn Columbus International Airport,large_airport,39.998001,-82.891899,Columbus,OH,10,Columbus,OH
KTZR,Bolton Field,small_airport,39.90119934082031,-83.13690185546875,Columbus,OH,10,Columbus,OH
KLCK,Rickenbacker International Airport,medium_airport,39.813801,-82.927803,Columbus,OH,10,Columbus,OH
KFFO,Wright-Patterson Air Force Base,medium_airport,39.826099,-84.048302,Dayton,OH,1,Dayton,OH
KDAY,James M Cox Dayton International Airport,medium_airport,39.902401,-84.219398,Dayton,OH,1,Dayton,OH
KMGY,Dayton-Wright Brothers Airport,small_airport,39.5890007019,-84.224899292,Dayton,OH,1,Dayton,OH
KLUK,Cincinnati Municipal Airport Lunken Field,medium_airport,39.10329819,-84.41860199,Cincinnati,OH,2,Cincinnati,OH
KAKR,Akron Executive Airport,medium_airport,41.037498,-81.466904,Akron,OH,3,Akron,OH
KCAK,Akron Canton Regional Airport,medium_airport,40.91609954833984,-81.44219970703125,Akron,OH,3,Akron,OH
KI69,Clermont County Airport,small_airport,39.07839966,-84.21019745,Batavia,OH,5195,Batavia,OH
KCLE,Cleveland Hopkins International Airport,large_airport,41.4117012024,-81.8498001099,Cleveland,OH,5,Cleveland,OH
KBKL,Burke Lakefront Airport,medium_airport,41.51750183105469,-81.68329620361328,Cleveland,OH,5,Cleveland,OH
KCGF,Cuyahoga County Airport,medium_airport,41.5651016235,-81.4863967896,Cleveland,OH,5,Cleveland,OH
KAOH,Lima Allen County Airport,small_airport,40.706902,-84.026703,Lima,OH,6,Lima,OH
KSGH,Springfield-Beckley Municipal Airport,medium_airport,39.840301513672,-83.840202331543,Springfield,OH,178,Springfield,OH
KPHD,Harry Clever Field,small_airport,40.470901489258,-81.419700622559,New Philadelphia,OH,3043,New Philadelphia,OH
KFWA,Fort Wayne International Airport,medium_airport,40.9785,-85.195099,Fort Wayne,IN,46,Fort Wayne,IN
KGEZ,Shelbyville Municipal Airport,small_airport,39.586044,-85.804024,Shelbyville,IN,16,Shelbyville,IN
KBAK,Columbus Municipal Airport,medium_airport,39.262386,-85.895576,Columbus,IN,197,Columbus,IN
KPKB,Mid Ohio Valley Regional Airport,medium_airport,39.34510040283203,-81.43920135498047,Parkersburg,WV,19,Parkersburg,WV
KMQJ,Indianapolis Regional Airport,small_airport,39.843498,-85.8971,Indianapolis,IN,20,Indianapolis,IN
KTYQ,Indianapolis Executive Airport,small_airport,40.030701,-86.251404,Indianapolis,IN,20,Indianapolis,IN
KEYE,Eagle Creek Airpark,small_airport,39.830699920654,-86.294403076172,Indianapolis,IN,20,Indianapolis,IN
KIND,Indianapolis International Airport,large_airport,39.7173,-86.294403,Indianapolis,IN,20,Indianapolis,IN
KTTF,Custer Airport,small_airport,41.93989944458008,-83.43470001220703,Monroe,MI,57,Monroe,MI
KLOU,Bowman Field,medium_airport,38.2280006409,-85.6636962891,Louisville,KY,32,Louisville,KY
KSDF,Louisville Muhammad Ali International Airport,large_airport,38.1744,-85.736,Louisville,KY,32,Louisville,KY
KPIT,Pittsburgh International Airport,large_airport,40.49150085,-80.23290253,Pittsburgh,PA,23,Pittsburgh,PA
KAGC,Allegheny County Airport,medium_airport,40.354401,-79.930199,Pittsburgh,PA,23,Pittsburgh,PA
KDLZ,Delaware Municipal Airport,small_airport,40.27970123291016,-83.11479949951172,Delaware,OH,105,Delaware,OH
KMIE,Delaware County Johnson Field,medium_airport,40.242298,-85.395897,Muncie,IN,188,Muncie,IN
KAID,Anderson Municipal Darlington Field,small_airport,40.10860061649999,-85.6129989624,Anderson,IN,69,Anderson,IN
KGKJ,Port Meadville Airport,small_airport,41.626499,-80.214699,Meadville,PA,8001,Meadville,PA
KANQ,Tri State Steuben County Airport,small_airport,41.639702,-85.083504,Angola,IN,40,Angola,IN
KERI,Erie International Tom Ridge Field,medium_airport,42.083127,-80.173867,Erie,PA,2204,Erie,PA
KW22,Upshur County Regional Airport,small_airport,39.00049973,-80.2736969,Buckhannon,WV,35,Buckhannon,WV
